EXC_1	EXC_2	INH_1	INH_2
ENSMUSG00000035413___Tmem98	1.388342	1.494317	1.099391	1.216388
ENSMUSG00000035420___Fam170a	0	0	0	0
ENSMUSG00000035427___Mageb4	0	0	0	0
ENSMUSG00000035429___Ptprh	0.619206	0.443358	0.870096	0.437742
ENSMUSG00000035431___Sstr1	6.747109	9.547801	6.412601	3.89148
ENSMUSG00000035435___Abca17	4.292233	7.829354	1.196833	1.314619
ENSMUSG00000035437___Rabgap1	127.067825	137.938431	125.982277	121.82077
ENSMUSG00000035439___Haus8	9.128321	6.667017	16.869284	16.075207
ENSMUSG00000035441___Myo1d	9.648696	12.741816	8.20842	6.326112
ENSMUSG00000035443___Thyn1	59.525848	64.444206	55.349232	53.560429
ENSMUSG00000035448___Ccr3	0.076652	0	0	0
ENSMUSG00000035451___Foxa1	0	0.114707	0.586383	0.723661
ENSMUSG00000035454___Samt3	0	0	0	0
ENSMUSG00000035455___Fignl1	0.489725	0.275693	0.52501	0.223426
ENSMUSG00000035456___Prdm8	9.402514	11.044035	3.625549	2.637312
ENSMUSG00000035458___Tnni3	0.102499	1.422514	4.080088	2.968451
ENSMUSG00000035459___Stab2	1.236264	2.142436	1.107392	1.155852
ENSMUSG00000035469___Rcbtb1	52.984196	47.188862	64.89286	57.22913
ENSMUSG00000035472___Slc25a21	0.117635	0	0.167147	0
ENSMUSG00000035473___Galm	0.820031	0.362237	0.422491	0.508857
ENSMUSG00000035476___Tab3	15.457655	16.002096	15.814205	17.027733
ENSMUSG00000035478___Mbd3	17.899576	20.659107	23.253431	28.594912
ENSMUSG00000035486___Plk5	23.243267	25.315638	20.558388	26.693481
ENSMUSG00000035491___Fthl17a	0	0	0	0.331806
ENSMUSG00000035493___Tgfbi	1.469248	0.425392	0.620992	1.834038
ENSMUSG00000035495___Tstd2	33.059887	35.707428	27.941175	24.604698
ENSMUSG00000035498___Cdcp1	0.787247	0.672751	0.675304	1.386936
ENSMUSG00000035504___Reep6	1.802697	1.412608	2.290795	1.99701
ENSMUSG00000035505___Cox18	40.122086	60.983406	52.985302	43.072292
ENSMUSG00000035506___Slc12a8	1.302566	1.253489	5.191292	6.207919
ENSMUSG00000035509___Fbxl21	3.752417	3.504623	8.592368	11.983366
ENSMUSG00000035513___Ntng2	55.81686	59.563839	8.731303	19.041779
ENSMUSG00000035517___Tdrd7	28.841156	29.197849	32.804974	35.641331
ENSMUSG00000035521___Gnptg	105.937111	109.809959	112.192955	102.448708
ENSMUSG00000035522___Tsga8	0.943765	1.563336	1.475185	0.297333
ENSMUSG00000035523___Vmn1r172	0	0	0	0
ENSMUSG00000035528___Npffr2	0.153991	0.411406	3.820483	2.221473
ENSMUSG00000035529___Prdm4	27.083105	30.483885	34.612789	34.878765
ENSMUSG00000035530___Eif1	102.728004	94.937248	130.218826	99.856735
ENSMUSG00000035539___Ccdc180	0	0	0.079764	0.302446
ENSMUSG00000035540___Gc	0	0.195109	0	0.173391
ENSMUSG00000035545___Leng8	340.796631	391.68399	305.322998	465.435181
ENSMUSG00000035547___Capn5	14.725804	11.286174	15.066627	12.156039
ENSMUSG00000035551___Igfbpl1	0.787008	0.452855	1.637608	3.544102
ENSMUSG00000035557___Krt17	0.179438	0	0	0.754642
ENSMUSG00000035559___Mpv17l2	13.495981	12.218363	16.016022	10.781819
ENSMUSG00000035560___Wdr20rt	0	0	0	0
ENSMUSG00000035561___Aldh1b1	1.083756	0.661025	2.320537	1.457503
ENSMUSG00000035566___Pcdh17	38.441845	44.503426	54.042503	52.798779
ENSMUSG00000035569___Ankrd11	205.301605	231.802307	184.903214	198.523163
ENSMUSG00000035572___Dcaf10	15.553974	14.239051	19.990898	13.576662
ENSMUSG00000035575___Utp6	9.440023	12.979905	12.178446	13.247931
ENSMUSG00000035576___L3mbtl1	36.90266	45.733452	32.908005	47.140148
ENSMUSG00000035578___Iqcg	4.040011	4.060759	4.823832	5.894404
ENSMUSG00000035580___Kcnh8	0.763889	1.115658	3.125714	3.899047
ENSMUSG00000035582___Gdpd4	0.261225	0.345691	0.079959	0
ENSMUSG00000035585___Tsen34	18.357271	18.983816	25.424292	18.771145
ENSMUSG00000035592___Krt33a	0	0	0	1.117197
ENSMUSG00000035594___Chrna5	4.508409	3.626331	1.730051	1.622172
ENSMUSG00000035595___Fam174c	9.44274	12.706772	17.77706	11.459219
ENSMUSG00000035596___Mboat7	68.86113	69.031876	80.300667	84.230103
ENSMUSG00000035597___Prpf39	198.766205	228.011108	217.838547	232.892517
ENSMUSG00000035601___Trmt10b	30.892761	31.897738	28.976433	34.365326
ENSMUSG00000035606___Ky	1.990019	2.631377	1.733578	2.857236
ENSMUSG00000035614___Togaram1	73.392746	81.06115	69.653702	71.857048
ENSMUSG00000035615___Frmpd1	1.639131	2.442483	6.529865	11.13328
ENSMUSG00000035620___Ric8b	57.277328	60.604256	101.644562	99.809547
ENSMUSG00000035621___Midn	12.296265	14.870417	15.685974	18.523525
ENSMUSG00000035623___Rsf1	74.528923	67.049355	71.276031	64.808182
ENSMUSG00000035626___Olfr1509	0	0	0	0
ENSMUSG00000035629___Rubcn	59.674553	65.223686	68.76564	84.954361
ENSMUSG00000035632___Cnot3	31.647724	37.022762	32.672718	41.87487
ENSMUSG00000035637___Grhpr	13.384325	9.748377	17.960579	17.988632
ENSMUSG00000035638___Muc20	0	0	0	0
ENSMUSG00000035640___Cbarp	137.536362	143.236343	150.320267	162.914505
ENSMUSG00000035642___Aamdc	30.617088	24.538347	37.212921	31.905521
ENSMUSG00000035649___Zcchc7	187.344788	203.182724	212.24057	213.806122
ENSMUSG00000035651___4930480E11Rik	0	0	0	0
ENSMUSG00000035653___Lrfn5	189.220978	208.931641	180.791	187.550446
ENSMUSG00000035666___Gtf3c4	18.926376	20.744001	20.425035	18.894325
ENSMUSG00000035671___Zswim4	11.203425	12.327588	11.911573	14.631887
ENSMUSG00000035673___Sbno2	32.788342	42.045097	26.052996	38.356251
ENSMUSG00000035674___Ndufa3	33.954502	28.324701	27.983358	28.011375
ENSMUSG00000035678___Tnfsf9	0.372646	0.257264	0.670391	0.836342
ENSMUSG00000035681___Kcnc2	62.221287	52.286469	120.739128	127.91925
ENSMUSG00000035683___Melk	0.784726	0.819186	0.488044	0.463232
ENSMUSG00000035686___Thrsp	15.251999	16.003328	19.780626	14.938479
ENSMUSG00000035692___Isg15	2.87291	5.262263	4.861451	4.951392
ENSMUSG00000035694___Caps2	0.967343	0.991301	2.513014	2.118112
ENSMUSG00000035696___Rnf38	78.62291	98.489365	71.093193	82.33857
ENSMUSG00000035697___Arhgap45	0.270159	0.760642	1.15746	1.613283
ENSMUSG00000035699___Slc51a	1.81569	1.456552	2.03472	2.073118
ENSMUSG00000035704___Alg8	13.372837	12.717892	13.295107	14.543632
ENSMUSG00000035711___Dok3	21.574814	28.396166	17.089039	27.526262
ENSMUSG00000035713___Usp35	33.259727	38.265892	35.52396	39.013142
ENSMUSG00000035722___Abca7	19.377432	27.493847	26.228823	31.597925
ENSMUSG00000035725___Prkx	13.42684	15.062337	14.531386	16.067225
ENSMUSG00000035726___Supt16	31.719992	36.428932	39.268192	40.577152
ENSMUSG00000035735___Dagla	50.884125	51.961441	36.397541	38.78458
ENSMUSG00000035745___Grin3b	0.747821	0.85244	1.639838	1.069827
ENSMUSG00000035754___Wdr18	44.319843	43.246429	46.321911	47.567547
ENSMUSG00000035757___Selenoo	33.386326	36.435078	38.46751	33.754536
ENSMUSG00000035759___Bbs10	8.381999	6.446462	10.373478	7.692082
ENSMUSG00000035762___Tmem161b	77.313019	91.206299	97.38765	91.428947
ENSMUSG00000035764___Fbxo45	13.307239	14.035489	14.284336	12.787003
ENSMUSG00000035765___Dym	90.305153	85.496742	84.572083	94.52198
ENSMUSG00000035769___Xylb	5.620926	5.501514	3.116165	3.291196
ENSMUSG00000035770___Dync1li2	160.557922	159.516769	158.143356	165.018814
ENSMUSG00000035772___Mrps2	17.855967	16.73209	18.194042	19.138624
ENSMUSG00000035773___Kiss1r	4.29019	5.221758	5.814116	4.799174
ENSMUSG00000035775___Krt20	18.308916	24.501593	3.37119	5.549412
ENSMUSG00000035776___Cd99l2	53.909847	57.205299	81.100342	69.903313
ENSMUSG00000035778___Ggta1	0.293158	0.419222	0.253041	0.351281
ENSMUSG00000035780___Ugt2a3	0	0	0	0
ENSMUSG00000035781___R3hdm4	96.664528	107.559082	71.323196	81.998978
ENSMUSG00000035783___Acta2	1.598964	1.474923	2.392169	1.416844
ENSMUSG00000035785___Cmtm2b	0	0.365302	0	0
ENSMUSG00000035790___Cep19	17.748844	17.382286	21.485172	19.223597
ENSMUSG00000035798___Zdhhc17	141.604141	151.257401	172.437088	163.572815
ENSMUSG00000035799___Twist1	0	0	0.317364	0
ENSMUSG00000035804___Ins1	0	0	0	0
ENSMUSG00000035805___Mlc1	4.313559	3.357813	3.179926	3.211169
ENSMUSG00000035811___Ugt2b35	0	0	0	0
ENSMUSG00000035818___Plekhs1	0.32409	0.723567	0.225088	0.173874
ENSMUSG00000035824___Tk2	29.105459	37.490128	48.013214	42.188946
ENSMUSG00000035828___Pim3	12.477438	12.911942	12.613124	12.453445
ENSMUSG00000035829___Ppp1r26	8.569099	9.435052	8.319557	10.350746
ENSMUSG00000035831___Krt25	1.369922	2.458008	2.697725	4.36477
ENSMUSG00000035834___Polr3g	13.099873	10.231794	12.464204	10.83884
ENSMUSG00000035835___Plppr3	40.728462	49.24749	71.117882	85.032608
ENSMUSG00000035836___Ugt2b1	0	0	0	0.128211
ENSMUSG00000035840___Lysmd3	11.658333	11.250842	14.136135	13.550036
ENSMUSG00000035842___Ddx11	2.46236	4.238893	8.804383	7.423924
ENSMUSG00000035845___Alg12	20.567848	22.721262	17.764887	21.833424
ENSMUSG00000035847___Ids	38.654301	39.863094	48.99979	39.701199
ENSMUSG00000035849___Krt222	20.866835	22.118507	24.719334	26.060123
ENSMUSG00000035851___Ythdc1	77.667931	97.432724	98.252464	99.717926
ENSMUSG00000035852___Misp	0.802767	0.960632	0.784592	2.007607
ENSMUSG00000035860___Cdhr3	1.85104	3.556348	2.634051	2.804647
ENSMUSG00000035861___Tmprss11b	0	0	0	0
ENSMUSG00000035863___Palm	73.160088	85.731621	59.366035	64.371689
ENSMUSG00000035864___Syt1	630.278259	616.379028	464.616516	433.019409
ENSMUSG00000035868___Zfp983	21.794806	15.066521	29.438299	25.978119
ENSMUSG00000035873___Pawr	1.313102	2.445112	1.522531	0.81068
ENSMUSG00000035875___AI182371	0.825745	1.189215	0.603644	0.530467
ENSMUSG00000035877___Zhx3	33.672031	42.849857	42.70166	53.159939
ENSMUSG00000035878___Hykk	4.509638	4.629508	7.151137	5.981375
ENSMUSG00000035885___Cox8a	83.10775	67.926727	92.356918	77.565231
ENSMUSG00000035890___Rnf126	33.17297	45.321964	25.890102	32.375725
ENSMUSG00000035891___Cerk	25.140406	22.790186	41.488457	43.707851
ENSMUSG00000035896___Rnase1	0	0	0	0
ENSMUSG00000035898___Uba6	23.974461	27.404888	32.540398	30.453365
ENSMUSG00000035900___Gramd4	22.119547	29.539841	23.042917	27.053637
ENSMUSG00000035901___Dennd5a	85.334122	88.487679	89.409218	99.727219
ENSMUSG00000035910___Dcdc2a	2.786925	3.772423	1.881659	2.029173
ENSMUSG00000035914___Cd276	6.669923	8.346981	6.326926	6.881401
ENSMUSG00000035916___Ptprq	0.164566	0.307132	0.169426	0.418266
ENSMUSG00000035919___Bbs9	31.240988	34.739033	31.95269	38.48214
ENSMUSG00000035923___Myf6	0	0	0.370612	0.278854
ENSMUSG00000035929___H2-Q4	0	0.430358	0.130553	0.113056
ENSMUSG00000035930___Chst4	0	0	0.45446	0.328231
ENSMUSG00000035932___Olfr750	0.057006	0	0.048924	0
ENSMUSG00000035933___Cog5	67.60743	66.18087	76.96257	70.579697
ENSMUSG00000035934___Pknox2	73.231606	96.992523	54.206161	60.803219
ENSMUSG00000035936___Aldh5a1	18.227625	19.379293	25.089188	27.723928
ENSMUSG00000035941___Ibtk	30.955994	31.994286	39.330563	39.678043
ENSMUSG00000035944___Ttc38	7.912925	9.668291	7.613427	9.46713
ENSMUSG00000035946___Gsx2	0	0.216175	0.306753	0
ENSMUSG00000035948___Acss3	0.932644	1.645703	0.907745	0.343736
ENSMUSG00000035949___Fbxw2	90.98304	87.935181	95.824219	92.847626
ENSMUSG00000035951___Ascl3	1.063887	0.21439	1.295058	0
ENSMUSG00000035953___Pip4p1	34.289391	37.275852	38.525185	40.256824
ENSMUSG00000035954___Dock4	213.755096	234.712296	197.434464	207.635162
ENSMUSG00000035958___Tdp2	36.074512	46.533382	45.459991	45.149517
ENSMUSG00000035960___Apex1	16.342014	14.555196	23.615803	12.961266
ENSMUSG00000035963___Odf3l2	1.179359	0.255168	1.86204	0.703631
ENSMUSG00000035964___Tmem59l	184.507675	143.773392	174.622986	141.491959
ENSMUSG00000035967___Ints6l	77.655319	86.917091	110.679245	111.631355
ENSMUSG00000035969___Rusc2	55.49197	59.992832	61.112717	64.952576
ENSMUSG00000035983___Gm7008	4.950674	4.157292	4.846569	2.459528
ENSMUSG00000035984___Nme5	21.997721	14.237153	12.576899	16.412432
ENSMUSG00000035992___Fnip1	51.203171	55.383198	51.756527	52.694897
ENSMUSG00000036002___Fam214b	25.797676	27.875679	33.83107	36.741859
ENSMUSG00000036006___Ripor2	85.69812	98.271873	93.556686	123.363533
ENSMUSG00000036009___Mettl25	22.434229	22.338051	27.159243	31.969803
ENSMUSG00000036013___Fam122c	0	0	0	0
ENSMUSG00000036019___Tmtc2	20.866741	22.578688	25.933498	28.106091
ENSMUSG00000036022___Fam122b	0.593197	0.992212	0.998893	0.718326
ENSMUSG00000036023___Parp2	38.341572	47.192699	42.110332	42.554398
ENSMUSG00000036026___Tmem63b	109.753654	135.188843	96.408798	113.096001
ENSMUSG00000036027___1810046K07Rik	0.170125	0	0.503545	0.155297
ENSMUSG00000036030___Prtg	4.076785	4.902047	3.035163	3.587495
ENSMUSG00000036036___Zfp57	31.075237	35.881927	42.114132	42.392277
ENSMUSG00000036040___Adamtsl2	5.45932	3.97937	2.728093	3.158688
ENSMUSG00000036045___Gm12221	0.058357	0.641879	1.159875	0.38302
ENSMUSG00000036046___5031439G07Rik	66.640526	68.707008	104.967178	124.072922
ENSMUSG00000036052___Dnajb5	63.949509	77.263962	36.137802	45.17952
ENSMUSG00000036053___Fmnl2	49.023815	45.214607	35.590481	36.816566
ENSMUSG00000036054___Sugp2	135.19899	154.149338	118.653908	139.302597
ENSMUSG00000036057___Ptpn23	22.5327	39.623917	23.759195	43.370247
ENSMUSG00000036061___Smug1	11.79601	14.569933	21.889746	21.042322
ENSMUSG00000036062___Phf24	259.916443	327.150635	127.64592	174.732239
ENSMUSG00000036067___Slc2a6	57.068081	59.691814	46.241329	43.742626
ENSMUSG00000036073___Galt	63.556919	78.33448	56.663662	68.120575
ENSMUSG00000036078___Sigmar1	37.738564	44.742867	27.708771	22.359751
ENSMUSG00000036083___Slc17a3	0	0.136193	0.065318	0
ENSMUSG00000036086___Zranb3	9.996319	11.5462	5.080592	6.846392
ENSMUSG00000036087___Slain2	28.765064	24.329702	31.832136	30.554468
ENSMUSG00000036091___Hyal3	0.997025	0.970692	0.799662	1.860097
ENSMUSG00000036093___Arl5a	22.272654	25.359434	32.141838	31.760275
ENSMUSG00000036095___Dgkb	67.283966	68.729156	109.400505	113.715172
ENSMUSG00000036097___Slf2	109.889305	130.269882	114.470871	116.541954
ENSMUSG00000036098___Myrf	9.307958	8.56472	10.269358	7.336432
ENSMUSG00000036099___Vezt	148.143631	141.680359	147.423004	143.789139
ENSMUSG00000036103___Colec12	1.147367	0.989748	2.230056	2.216885
ENSMUSG00000036104___Rab3gap1	103.909752	110.351875	103.369156	105.257935
ENSMUSG00000036106___Prr5	1.241291	0.309361	4.987486	5.551271
ENSMUSG00000036109___Mbnl3	0.421792	0.172314	0.350129	0.143869
ENSMUSG00000036110___Slc17a2	0.041349	0.217716	0	0.073802
ENSMUSG00000036111___Lmo1	6.830754	5.517847	8.781726	4.600893
ENSMUSG00000036112___Metap2	78.785919	84.954819	81.06459	84.859634
ENSMUSG00000036114___Rpp25l	6.610465	13.056309	8.53049	8.511301
ENSMUSG00000036117___Il5	0.92039	1.748003	0	0.430788
ENSMUSG00000036120___Rfxank	12.462693	10.331641	10.950535	12.812464
ENSMUSG00000036123___Slc9a3	5.299726	3.41025	11.441483	15.00322
ENSMUSG00000036131___Frmd7	1.156282	1.520515	1.245618	1.94328
ENSMUSG00000036136___Fam110c	0.265034	0.118534	0	0.199971
ENSMUSG00000036138___Acaa1a	66.252594	75.015541	64.170052	69.277847
ENSMUSG00000036139___Hoxc9	0	0	0	0
ENSMUSG00000036144___Meox2	0	0	0.248051	0.192512
ENSMUSG00000036151___Tm6sf2	12.572772	20.24593	13.384351	17.35741
ENSMUSG00000036155___Mgat5	46.243206	49.50209	38.434345	38.984825
ENSMUSG00000036158___Prickle1	44.134727	51.96096	22.201935	21.289324
ENSMUSG00000036160___Surf6	21.325157	19.117119	18.416142	19.226439
ENSMUSG00000036162___Fam219aos	2.151147	1.834594	3.066994	2.890313
ENSMUSG00000036167___Pphln1	21.078321	25.998444	24.125353	31.900639
ENSMUSG00000036168___Ccdc38	3.534927	4.708243	6.821585	4.110646
ENSMUSG00000036169___Sostdc1	0.639265	0.487769	0.545601	1.230002
ENSMUSG00000036172___Cd200r3	0	0	0	0
ENSMUSG00000036180___Gatad2a	9.45715	9.083894	13.857759	17.369001
ENSMUSG00000036181___H1f2	13.388641	9.110931	16.82198	10.133039
ENSMUSG00000036185___Sapcd1	0	0.405697	0.410904	0.951113
ENSMUSG00000036186___Dipk1b	75.657707	71.391769	98.933861	98.211243
ENSMUSG00000036188___Ankmy2	31.766359	33.329582	39.254917	41.378021
ENSMUSG00000036192___Rorb	15.868916	22.319025	12.03888	12.047301
ENSMUSG00000036196___Slc26a8	8.028265	11.277002	1.641118	5.606865
ENSMUSG00000036197___Gxylt1	12.707791	15.032756	14.207615	16.43878
ENSMUSG00000036198___Arhgap36	1.385102	0.485147	3.591399	4.469245
ENSMUSG00000036199___Ndufa13	27.550581	25.957663	27.507633	29.746536
ENSMUSG00000036202___Rif1	54.51228	54.15147	93.387276	83.492416
ENSMUSG00000036206___Sh3bp4	9.166342	10.543119	6.593167	6.253733
ENSMUSG00000036208___Nepro	23.230541	18.663546	20.451532	22.925644
ENSMUSG00000036211___H1f6	0	0	0.393708	0.306367
ENSMUSG00000036214___Znrd1as	6.473976	4.237719	11.331653	3.85866
ENSMUSG00000036216___Leap2	10.092936	15.133036	9.730115	18.392246
ENSMUSG00000036218___Pdzrn4	21.559317	20.567678	18.857138	20.28524
ENSMUSG00000036223___Ska1	0	0	0	0
ENSMUSG00000036225___Kctd1	94.247429	89.442429	70.833321	79.988152
ENSMUSG00000036231___Agr3	0.604618	0.440185	1.583854	0.726271
ENSMUSG00000036241___Ube2r2	25.219482	28.309141	32.305683	29.384007
ENSMUSG00000036242___Armh4	16.174963	14.269355	25.101263	20.367197
ENSMUSG00000036244___Tbc1d21	0	0	0	0
ENSMUSG00000036246___Gmip	12.074637	15.858017	14.54707	14.842504
ENSMUSG00000036249___Rbm43	6.27805	6.23549	7.332981	8.897648
ENSMUSG00000036251___Trpm8	0	0	0.486999	0.704197
ENSMUSG00000036256___Igfbp7	8.164375	6.96444	1.890522	3.192623
ENSMUSG00000036257___Pnpla8	33.6357	34.885849	33.477875	31.269474
ENSMUSG00000036264___Fstl4	51.171135	52.414974	30.1903	30.894239
ENSMUSG00000036270___Edc4	51.424324	65.316658	47.679199	62.937798
ENSMUSG00000036273___Lrrk2	80.466942	87.687691	83.231712	87.053223
ENSMUSG00000036275___9530068E07Rik	33.024651	31.882263	36.955563	34.690407
ENSMUSG00000036278___Macrod1	4.099136	5.665858	4.924399	7.019936
ENSMUSG00000036281___Snapc4	116.897728	135.760773	94.480125	124.958786
ENSMUSG00000036282___Naa30	53.366024	57.109501	58.591801	56.787209
ENSMUSG00000036285___Noa1	12.242603	10.488858	10.028306	10.236767
ENSMUSG00000036291___Ap5m1	34.971333	45.725616	43.175381	42.637905
ENSMUSG00000036292___Gramd1c	7.581017	7.386775	4.488548	7.892635
ENSMUSG00000036295___Lrrn3	45.737934	46.605328	46.209988	41.311993
ENSMUSG00000036298___Slc2a13	94.630753	110.847137	117.088478	104.665634
ENSMUSG00000036299___BC031181	36.616024	34.551727	47.611851	38.984612
ENSMUSG00000036304___Zdhhc23	31.347782	38.530888	10.735217	13.235101
ENSMUSG00000036305___Rpl39-ps	0	0	0	0
ENSMUSG00000036306___Lzts1	90.688721	107.736259	63.802818	63.728569
ENSMUSG00000036309___Skp1a	89.798157	91.141197	118.001213	94.419762
ENSMUSG00000036315___Znrd1	15.935066	15.318393	14.91067	10.757355
ENSMUSG00000036322___H2-Ea	0	0	0	0
ENSMUSG00000036323___Srp72	70.130524	73.210838	71.124237	68.298424
ENSMUSG00000036327___Qsox2	27.936209	27.959875	29.692228	25.111143
ENSMUSG00000036330___Slc18a1	8.488588	16.771029	4.868834	5.161615
ENSMUSG00000036333___Kidins220	315.719086	364.999146	352.972809	284.684814
ENSMUSG00000036334___Igsf10	3.607101	2.982663	5.272097	5.514928
ENSMUSG00000036339___Tmem260	66.306786	80.028488	61.89526	68.148918
ENSMUSG00000036352___Ubac1	45.6399	51.737228	62.245647	69.203926
ENSMUSG00000036353___P2ry12	17.623423	18.485538	24.107456	21.285656
ENSMUSG00000036356___Csgalnact1	39.338692	41.398472	19.542135	15.953817
ENSMUSG00000036357___Gpr101	2.892002	2.613875	6.244907	5.861183
ENSMUSG00000036362___P2ry13	16.553547	17.096491	21.035059	17.553864
ENSMUSG00000036368___Rmdn2	15.10082	16.456331	19.293491	15.466189
ENSMUSG00000036371___Serbp1	65.932724	61.440742	64.933022	60.449844
ENSMUSG00000036372___Tmem258	15.468917	18.851139	19.563406	15.589429
ENSMUSG00000036376___Abt1	5.962779	6.381204	5.558641	6.913161
ENSMUSG00000036377___C530008M17Rik	36.688808	46.766376	59.917274	83.080193
ENSMUSG00000036381___P2ry14	67.589897	65.76902	70.279915	75.481804
ENSMUSG00000036390___Gadd45a	12.489395	10.480241	15.348963	16.071703
ENSMUSG00000036391___Sec24a	39.450161	47.538639	28.879206	54.081692
ENSMUSG00000036395___Glb1l2	8.390349	8.908538	5.048359	5.155016
ENSMUSG00000036398___Ppp1r11	21.797709	21.618795	26.297091	23.379711
ENSMUSG00000036401___Glt6d1	0	0	0	0
ENSMUSG00000036402___Gng12	10.201859	6.996557	3.428466	2.634578
ENSMUSG00000036403___Cep135	18.141888	21.376499	26.5298	33.141315
ENSMUSG00000036411___9530077C05Rik	15.045012	19.564972	21.994734	18.593313
ENSMUSG00000036412___Arsi	0.728793	0.838287	0.101175	0.086815
ENSMUSG00000036422___Pcdh8	13.108438	11.687794	14.705887	15.208748
ENSMUSG00000036427___Gpi1	308.357605	340.524658	352.278656	392.275909
ENSMUSG00000036430___Tbcc	21.452484	16.912767	23.337988	25.651909
ENSMUSG00000036432___Siah2	18.29698	19.013695	24.020964	26.760841
ENSMUSG00000036435___Exoc1	106.80439	126.962532	128.304077	138.78363
ENSMUSG00000036437___Npy1r	21.612028	24.533997	12.158567	9.805426
ENSMUSG00000036438___Calm2	395.93866	320.292023	376.754639	303.365326
ENSMUSG00000036442___Thap11	12.946374	9.285977	15.454782	10.54962
ENSMUSG00000036446___Lum	0	0.543766	1.510321	1.056959
ENSMUSG00000036449___Lcn8	0	0	0	0
ENSMUSG00000036450___Hif1an	20.223173	26.84469	21.307613	24.833099
ENSMUSG00000036452___Arhgap26	89.386505	89.039551	92.663208	113.647301
ENSMUSG00000036459___Wtip	14.149254	14.922978	18.779341	18.40904
ENSMUSG00000036461___Elf1	1.712326	2.573397	2.130582	1.396378
ENSMUSG00000036463___4930544G11Rik	0	0	0.224193	0
ENSMUSG00000036466___Megf11	31.879934	41.649487	40.113392	40.917622
ENSMUSG00000036469___Marchf1	85.219147	84.725204	44.27417	43.178448
ENSMUSG00000036473___Tbc1d24	61.445721	75.557213	47.217575	56.835041
ENSMUSG00000036478___Btg1	15.937291	13.325508	26.189482	19.401304
ENSMUSG00000036480___Prss56	0.211428	0.466776	0.276143	0.22941
ENSMUSG00000036492___Rnf39	7.986122	7.71146	3.44324	6.062729
ENSMUSG00000036499___Eea1	31.005415	39.125732	42.616714	47.004238
ENSMUSG00000036500___Akp3	0	0	0	0
ENSMUSG00000036501___Fam13b	139.915634	145.470901	185.56366	206.923309
ENSMUSG00000036502___Tmem255a	9.960017	8.9189	31.736301	29.137976
ENSMUSG00000036503___Rnf13	67.36261	65.812637	90.604805	75.87822
ENSMUSG00000036504___Phpt1	4.60385	3.488286	2.770951	5.061611
ENSMUSG00000036510___Cdh8	100.628815	94.64106	122.168022	113.867538
ENSMUSG00000036513___Commd2	18.334604	14.502716	18.292528	16.599268
ENSMUSG00000036521___Scgb2b2	0	0	0	0
ENSMUSG00000036523___Greb1	2.037606	0.203957	2.519502	2.905405
ENSMUSG00000036526___Card11	0	0	0.066651	0.067745
ENSMUSG00000036528___Ppfibp2	5.806616	5.477882	5.082506	4.305412
ENSMUSG00000036529___Sbf1	78.846497	93.82486	69.358177	84.166435
ENSMUSG00000036533___Cdc42ep3	10.541555	9.242617	15.264014	14.203556
ENSMUSG00000036534___Slc38a7	36.941002	39.349976	32.11311	34.34824
ENSMUSG00000036537___Rnf113a1	1.717055	1.664057	3.045397	2.388262
ENSMUSG00000036545___Adamts2	11.785288	14.316021	13.817219	18.194744
ENSMUSG00000036550___Cnot1	150.929962	190.02951	165.682465	154.042801
ENSMUSG00000036551___Akap14	3.821273	5.241608	2.657899	1.900752
ENSMUSG00000036552___Ermard	126.382454	93.205765	175.583145	134.465347
ENSMUSG00000036553___Sh3tc1	0.370952	0.430253	0.498536	0.252154
ENSMUSG00000036555___Iqce	69.823189	77.740402	57.63372	78.699875
ENSMUSG00000036557___Stpg4	2.454702	0.88015	0	1.9058
ENSMUSG00000036560___Lgi4	4.195911	7.447698	1.452599	1.401089
ENSMUSG00000036561___Ppp6r2	192.993988	201.993835	211.321106	218.93338
ENSMUSG00000036564___Ndrg4	757.48407	807.163086	950.022156	1057.751587
ENSMUSG00000036565___Ttyh3	66.941109	65.12468	59.911987	69.527107
ENSMUSG00000036568___Bicral	42.958626	55.409813	42.627663	52.936455
ENSMUSG00000036570___Fxyd1	19.124842	14.53841	4.450543	4.231112
ENSMUSG00000036572___Upf3b	25.761526	24.338751	36.765167	32.932713
ENSMUSG00000036574___Tex44	0	0.33829	1.343116	0.128701
ENSMUSG00000036578___Fxyd7	38.126205	50.055847	22.378513	22.864649
ENSMUSG00000036580___Spg20	15.187185	15.862855	19.865572	21.054556
ENSMUSG00000036585___Fgf1	18.673027	21.243967	31.796192	38.144463
ENSMUSG00000036586___Grifin	0	0	0	0
ENSMUSG00000036587___Fut7	0.457701	1.471654	1.097832	0.373155
ENSMUSG00000036591___Arhgap21	334.016327	357.04126	252.575943	272.533691
ENSMUSG00000036594___H2-Aa	0.241304	0	0.51372	0
ENSMUSG00000036596___Cpz	0.146997	0	0	0
ENSMUSG00000036598___Ccdc113	1.851604	3.68022	1.244824	2.83467
ENSMUSG00000036599___Chst12	5.235164	3.544127	4.984737	4.743979
ENSMUSG00000036602___Alx1	0	0	0	0
ENSMUSG00000036606___Plxnb2	25.140713	30.358273	34.087608	37.195656
ENSMUSG00000036611___Eepd1	13.803283	14.995586	10.228385	15.608535
ENSMUSG00000036613___Eipr1	50.914433	52.258812	45.557686	47.799397
ENSMUSG00000036615___Rfxap	15.020925	15.101455	16.675024	13.236814
